url,title_version,model_year,mileage,engine,transmission,fuel,price,description,inspection_score
https://www.pakwheels.com/used-cars/honda-city-2002-for-sale-in-lahore-10835946,Honda City EXi 2002,2002,"420,994 km",1300 cc,Manual,Petrol,"PKR 10.5 lacs
Managed by PakWheels",- Central Locking - Back Camera - Android Panel - Speakers - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 2nd Owner - Manufacture 2002 - Registered 2002 - 1 key available,2.7
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10771405,Honda Civic Turbo 1.5 VTEC CVT 2017,2017,"110,383 km",1500 cc,Automatic,Petrol,"PKR 51 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,7.9
https://www.pakwheels.com/used-cars/honda-n-wgn-2016-for-sale-in-lahore-10872889,Honda N Wgn G 2016,2016,"175,601 km",660 cc,Automatic,Petrol,"PKR 27 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2016 Registered 2016 1 key available,6.4
https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-islamabad-10797220,Honda Vezel 2015,2015,"118,019 km",1500 cc,Automatic,Hybrid,"PKR 49 lacs
Managed by PakWheels",Honda Vezel Hybrid Z Honda Sensing Documents available PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2015 Registered 2016 1 key available,7.9
https://www.pakwheels.com/used-cars/honda-br-v-2019-for-sale-in-karachi-10809172,Honda BR-V i-VTEC S 2019,2019,"77,464 km",1500 cc,Automatic,Petrol,"PKR 45 lacs
Financing starts at PKR 103,761/Month
Managed by PakWheels",Floor matts Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2019 Registered 2019 2 keys available,8.4
https://www.pakwheels.com/used-cars/honda-n-wgn-2020-for-sale-in-islamabad-10892393,Honda N Wgn L 2020,2020,"53,766 km",660 cc,Automatic,Petrol,"PKR 34.3 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2020 Registered 2024 1 key available Redar. Adoptive cruise control. Line Departure Assist. Line Keep Assist. Auto braking. Traction control. Rear parking sensor. Triptonic with pedel shifters. Sofa seat (Rear seat is moveable & Foldable). LED auto headlamp with hieght adjustment. Digital climate control. electronic hand brake with brake hold. Eco-idle Orginal Japanese sound system with multimedia control. Front Heated seats Sign board read.,7.1
https://www.pakwheels.com/used-cars/honda-civic-2021-for-sale-in-islamabad-10819531,Honda Civic Oriel 1.8 i-VTEC CVT 2021,2021,"81,905 km",1800 cc,Automatic,Petrol,"PKR 62.5 lacs
Financing starts at PKR 99,770/Month
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 1st Owner - Manufacture 2021 - Registered 2022 - 1 key available,8
https://www.pakwheels.com/used-cars/honda-accord-2003-for-sale-in-karachi-10697106,Honda Accord CL9 2003,2003,"165,180 km",2400 cc,Automatic,Petrol,"PKR 25 lacs
Managed by PakWheels",- Android Panel - Documents available - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2003 - Registered 2006 - 1 key available,6.3
https://www.pakwheels.com/used-cars/honda-city-2013-for-sale-in-lahore-10909960,Honda City 1.3 i-VTEC Prosmatec 2013,2013,"117,794 km",1300 cc,Automatic,Petrol,"PKR 30 lacs
Managed by PakWheels",- Android Panel - Sun Protection Sheets - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax not Cleared - 2nd Owner - Manufacture 2013 - Registered 2013 - 2 keys available,8.4
https://www.pakwheels.com/used-cars/honda-civic-2023-for-sale-in-islamabad-10774619,Honda Civic RS 2023,2023,"32,001 km",1500 cc,Automatic,Petrol,"PKR 90.5 lacs
Financing starts at PKR 96,311/Month",more details contact,9.9
https://www.pakwheels.com/used-cars/honda-civic-2015-for-sale-in-rawalpindi-10789686,Honda Civic VTi 1.8 i-VTEC 2015,2015,"97,040 km",1800 cc,Manual,Petrol,PKR 35.5 lacs,Honda Civic Manual December 2015 Model • Invoice date 29 Dec 2015 • Islamabad Registered • Low mileage 97k • 2nd Owner • Total genuine except 1 fender • Original Smart Card • 2 Keys • Token tax paid • Stepney available • Fuel average • In city 13-14 km • On highway 15-16 km • Driven on HiOctane+Super • Regular Oil Changed after 5000 km • Very well maintained • Slight hailstorm spots (very less) • Used as a second car You would barely find a car in this immaculate condition Contact on phone/whatsapp Price negotiable on spot only,8.9
https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-karachi-10908996,Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,"100,510 km",1800 cc,Automatic,Petrol,"PKR 53 lacs
Financing starts at PKR 103,406/Month
Managed by PakWheels",- Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates not available - Token tax Cleared - 1st Owner - Manufacture 2020 - Registered 2020 - 2 keys available,6.4
https://www.pakwheels.com/used-cars/honda-city-2011-for-sale-in-islamabad-10909806,Honda City 1.3 i-VTEC 2011,2011,"120,244 km",1300 cc,Manual,Petrol,"PKR 27 lacs
Managed by PakWheels",LED Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2011 Registered 2011 1 key available,6.9
https://www.pakwheels.com/used-cars/honda-br-v-2022-for-sale-in-karachi-10782905,Honda BR-V i-VTEC S 2022,2022,"33,125 km",1500 cc,Automatic,Petrol,"PKR 55 lacs
Financing starts at PKR 97,553/Month
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2022 Registered 2022 2 keys available,9.4
https://www.pakwheels.com/used-cars/honda-vezel-2015-for-sale-in-peshawar-10683619,Honda Vezel Hybrid Z 2015,2015,"88,735 km",1500 cc,Automatic,Hybrid,"PKR 47.5 lacs
Managed by PakWheels",Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 1st Owner Token Tax Paid Manufacture 2015 Registered 2022 1 key available,5.2
https://www.pakwheels.com/used-cars/honda-city-2017-for-sale-in-karachi-10908853,Honda City 1.3 i-VTEC Prosmatec 2017,2017,"135,927 km",1300 cc,Automatic,Petrol,"PKR 32.5 lacs
Financing starts at PKR 80,703/Month
Managed by PakWheels",Android multimedia screen installed Documents not check by pakwheels PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax paid Manufacture 2017 Registered 2017 2 key available,7.1
https://www.pakwheels.com/used-cars/honda-civic-2012-for-sale-in-lahore-10855869,Honda Civic VTi Prosmatec 1.8 i-VTEC 2012,2012,"222,878 km",1800 cc,Automatic,Petrol,"PKR 30 lacs
Managed by PakWheels",Documents available Hard Top without sunroof PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2012 Registered 2013 1 key available Android panel,7.2
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-karachi-10773820,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,"53,325 km",1800 cc,Automatic,Petrol,"PKR 49.95 lacs
Financing starts at PKR 106,315/Month",*Honda 1.8 Civic Oriel A/T UG* Navigation+ leather Model & Register 2018 1st Owner New Red Meter AC & Suspension 100% Bumper to Bumper Originals Inner & Outer all Original Sealed Engine Spare Wheel unused Brand New tyres install. PRICE IS FIRM & FINAL,9.1
https://www.pakwheels.com/used-cars/honda-civic-2002-for-sale-in-rawalpindi-10778379,Honda Civic VTi 1.6 2002,2002,"372,707 km",1600 cc,Manual,Petrol,"PKR 14 lacs
Managed by PakWheels",Army Officer driven PakWheels inspected car Inspection report attached Number plates available 3rd Owner Token Tax Paid Manufacture 2002 Registered 2002 Documents available 2 keys available,5.2
https://www.pakwheels.com/used-cars/honda-civic-2017-for-sale-in-karachi-10909673,Honda Civic 1.8 i-VTEC CVT 2017,2017,"47,862 km",1800 cc,Automatic,Petrol,"PKR 44 lacs
Financing starts at PKR 101,455/Month
Managed by PakWheels",Documents available PakWheels inspected car Inspection report attached Number plates available 2nd Owner Token Tax Paid Manufacture 2017 Registered 2017 2 key available,7.9
https://www.pakwheels.com/used-cars/honda-vezel-2019-for-sale-in-peshawar-10864193,Honda Vezel Hybrid RS Honda Sensing 2019,2019,"132,337 km",1500 cc,Automatic,Hybrid,"PKR 75 lacs
Managed by PakWheels",- PakWheels inspected car - Inspection report attached - Number plates not issued - 1st Owner - Token Tax Paid - Manufacture 2019 - Registered 2025 -Documents not check by pakwheels.com - 2 keys available,9.4
https://www.pakwheels.com/used-cars/honda-civic-2020-for-sale-in-lahore-10787406,Honda Civic Oriel 1.8 i-VTEC CVT 2020,2020,"86,073 km",1800 cc,Automatic,Petrol,"PKR 58.75 lacs
Financing starts at PKR 104,204/Month",Price is fixed agar samjh aye tou call kerey Civic UG Leather seats Sunroof Total Geneuin (one right back fender showered) Tires in great conditon,8.9
https://www.pakwheels.com/used-cars/honda-civic-2018-for-sale-in-lahore-10823857,Honda Civic Oriel 1.8 i-VTEC CVT 2018,2018,"82,059 km",1800 cc,Automatic,Petrol,"PKR 54 lacs
Financing starts at PKR 105,357/Month
Managed by PakWheels",- Ambient Lights - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2018 - Registered 2018 - 2 keys available,8.3
https://www.pakwheels.com/used-cars/honda-vezel-2019-for-sale-in-islamabad-10736499,Honda Vezel Hybrid Z Honda Sensing 2019,2019,"117,045 km",1500 cc,Automatic,Hybrid,"PKR 69 lacs
Managed by PakWheels",PakWheels inspected car Inspection report attached Number plates not issue yet 1st Owner Token Tax Paid Manufacture 2019 Registered 2024 Documents available 1 key available,9.5
https://www.pakwheels.com/used-cars/honda-civic-2013-for-sale-in-lahore-10801349,Honda Civic VTi Prosmatec 1.8 i-VTEC 2013,2013,"173,516 km",1800 cc,Automatic,Petrol,"PKR 31 lacs
Managed by PakWheels",- LED lights installed - Documents have not checked by Pakwheels - PakWheels inspected car - Inspection report attached - Number plates available - Token tax Cleared - 3rd Owner - Manufacture 2013 - Registered 2013 - 2 keys available,8
